NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICEACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
cattle-logging-system,rancher-logging-root-fluentd-0,0,●,2/2,Running,0,<unknown>,18,150,500:0,95:0,3,n/a,158,n/a,10.218.57.69,ip-10-218-58-27.ec2.internal,rancher-logging-root-fluentd,<none>,<none>,BU,app.kubernetes.io/component=fluentd app.kubernetes.io/managed-by=rancher-logging-root app.kubernetes.io/name=fluentd apps.kubernetes.io/pod-index=0 controller-revision-hash=rancher-logging-root-fluentd-6b5479496 statefulset.kubernetes.io/pod-name=rancher-logging-root-fluentd-0,,18m
default,elisity-identity-graph-57c6fd5fd-hcdw7,0,●,2/2,Running,0,<unknown>,114,1390,50:500,150:6500,227,22,927,21,10.218.99.127,ip-10-218-115-222.ec2.internal,default,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-identity-graph app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=identity-graph app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=57c6fd5fd,,18m
cattle-logging-system,loki-canary-r8mr9,0,●,1/1,Running,0,<unknown>,1,16,0:0,0:0,n/a,n/a,n/a,n/a,10.218.83.120,ip-10-218-82-133.ec2.internal,loki-canary,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=559c87c5dc pod-template-generation=1,,6m1s
cattle-logging-system,rancher-logging-root-fluentbit-gtghj,0,●,1/1,Running,0,<unknown>,2,14,100:200,47:95,2,1,29,14,10.218.61.114,ip-10-218-38-218.ec2.internal,rancher-logging-root-fluentbit,<none>,<none>,BU,app.kubernetes.io/managed-by=rancher-logging-root app.kubernetes.io/name=fluentbit controller-revision-hash=97547c7f7 pod-template-generation=4,,19m
kube-system,ebs-csi-node-tkpfl,0,●,3/3,Running,0,<unknown>,1,19,30:0,120:768,3,n/a,16,2,10.218.61.157,ip-10-218-60-198.ec2.internal,ebs-csi-node-sa,<none>,<none>,BU,app=ebs-csi-node app.kubernetes.io/component=csi-driver app.kubernetes.io/instance=aws-ebs-csi-driver app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=aws-ebs-csi-driver app.kubernetes.io/version=1.26.1 controller-revision-hash=789fb667fc helm.sh/chart=aws-ebs-csi-driver-2.26.1 pod-template-generation=3,,21m
default,elisity-keycloak-8c8c74f8b-697mc,0,●,2/2,Running,0,<unknown>,19,1008,50:500,150:2500,38,3,672,40,10.218.93.76,ip-10-218-82-133.ec2.internal,exec,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-keycloak app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=keycloak app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=8c8c74f8b,,18m
cattle-logging-system,loki-canary-m7825,0,●,1/1,Running,0,<unknown>,1,16,0:0,0:0,n/a,n/a,n/a,n/a,10.218.114.26,ip-10-218-115-222.ec2.internal,loki-canary,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=559c87c5dc pod-template-generation=1,,6m
cattle-monitoring-system,prometheus-rancher-monitoring-prometheus-0,0,●,3/3,Running,0,<unknown>,221,3100,950:0,800:0,23,n/a,387,n/a,10.218.127.207,ip-10-218-115-222.ec2.internal,rancher-monitoring-prometheus,<none>,<none>,BU,app.kubernetes.io/instance=rancher-monitoring-prometheus app.kubernetes.io/managed-by=prometheus-operator app.kubernetes.io/name=prometheus app.kubernetes.io/version=2.38.0 apps.kubernetes.io/pod-index=0 controller-revision-hash=prometheus-rancher-monitoring-prometheus-66f88fc4d5 operator.prometheus.io/name=rancher-monitoring-prometheus operator.prometheus.io/shard=0 prometheus=rancher-monitoring-prometheus statefulset.kubernetes.io/pod-name=prometheus-rancher-monitoring-prometheus-0,,17m
cattle-logging-system,loki-logs-6k968,0,●,2/2,Running,0,<unknown>,4,33,0:0,0:0,n/a,n/a,n/a,n/a,10.218.47.43,ip-10-218-38-218.ec2.internal,loki-grafana-agent,<none>,<none>,BE,app.kubernetes.io/instance=loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=79dcd75c5d grafana-agent=loki operator.agent.grafana.com/name=loki operator.agent.grafana.com/type=logs pod-template-generation=1,,19m
cattle-monitoring-system,rancher-monitoring-operator-7d4cbf7546-fp4rl,0,●,1/1,Running,0,<unknown>,1,189,100:200,100:500,1,0,189,37,10.218.58.127,ip-10-218-58-27.ec2.internal,rancher-monitoring-operator,<none>,<none>,BU,app=rancher-monitoring-operator app.kubernetes.io/instance=rancher-monitoring app.kubernetes.io/managed-by=Helm app.kubernetes.io/part-of=rancher-monitoring app.kubernetes.io/version=102.0.2_up40.1.2 chart=rancher-monitoring-102.0.2_up40.1.2 heritage=Helm pod-template-hash=7d4cbf7546 release=rancher-monitoring,,18m
