NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/RL,MEM/RL,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICE-ACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
default,ds-data-exporter-policy-29129040-zqvs7,0,●,0/1,Completed,0,<unknown>,0,0,200:200,250:500,0,0,0,0,10.201.89.134,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=ds-data-exporter-policy,batch.kubernetes.io/controller-uid=3b52af5c-8b3d-4f7d-abe8-974e2db9d75d,batch.kubernetes.io/job-name=ds-data-exporter-policy-29129040,controller-uid=3b52af5c-8b3d-4f7d-abe8-974e2db9d75d,job-name=ds-data-exporter-policy-29129040",,58m
default,elisity-flows-service-85c78bbc89-m9rg5,0,●,1/2,Running,9,4s,0,0,2050:2500,4146:4596,0,0,0,0,10.201.49.225,ip-10-201-53-63.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-flows-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=elisity-flows-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=false,pod-template-hash=85c78bbc89",container ready check failed: 1 of 2,3h15m
default,elisity-identity-graph-device-history-cronjob-29128870-tbxsh,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.201.115.111,ip-10-201-119-111.eu-west-1.compute.internal,postgres-ha,<none>,<none>,BE,"batch.kubernetes.io/controller-uid=a1a7ec16-7fe2-464a-86d7-10658d0cb804,batch.kubernetes.io/job-name=elisity-identity-graph-device-history-cronjob-29128870,controller-uid=a1a7ec16-7fe2-464a-86d7-10658d0cb804,job-name=elisity-identity-graph-device-history-cronjob-29128870",,3h48m
default,postgres-ha-5,0,●,1/1,Running,0,<unknown>,1552,6305,10000:0,32768:0,15,n/a,19,n/a,10.201.110.37,ip-10-201-125-85.eu-west-1.compute.internal,postgres-ha,<none>,<none>,BU,"app.kubernetes.io/component=systemservices,cnpg.io/cluster=postgres-ha,cnpg.io/instanceName=postgres-ha-5,cnpg.io/instanceRole=replica,cnpg.io/podRole=instance,role=replica",,5m23s
default,ds-data-exporter-policy-29128920-hnhcc,0,●,0/1,Completed,0,<unknown>,0,0,200:200,250:500,0,0,0,0,10.201.89.135,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=ds-data-exporter-policy,batch.kubernetes.io/controller-uid=db1bd2de-4c21-434c-85d1-f80c057f45e8,batch.kubernetes.io/job-name=ds-data-exporter-policy-29128920,controller-uid=db1bd2de-4c21-434c-85d1-f80c057f45e8,job-name=ds-data-exporter-policy-29128920",,178m
default,ds-data-exporter-ve-29129040-sx4ds,0,●,0/1,Completed,0,<unknown>,0,0,200:200,250:500,0,0,0,0,10.201.89.135,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=ds-data-exporter-ve,batch.kubernetes.io/controller-uid=6d0d8d7a-2a3c-4784-8de4-3f6d628ed460,batch.kubernetes.io/job-name=ds-data-exporter-ve-29129040,controller-uid=6d0d8d7a-2a3c-4784-8de4-3f6d628ed460,job-name=ds-data-exporter-ve-29129040",,58m
default,elisity-identity-graph-device-history-cronjob-29128850-bcfxd,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.201.115.111,ip-10-201-119-111.eu-west-1.compute.internal,postgres-ha,<none>,<none>,BE,"batch.kubernetes.io/controller-uid=f5cd0da2-4597-4f9b-b3b8-8ce813aecc44,batch.kubernetes.io/job-name=elisity-identity-graph-device-history-cronjob-29128850,controller-uid=f5cd0da2-4597-4f9b-b3b8-8ce813aecc44,job-name=elisity-identity-graph-device-history-cronjob-29128850",,4h8m
default,elisity-keycloak-844cd69df-j2w7k,0,●,2/2,Running,1,4h14m,620,968,1050:1500,2098:2548,59,41,46,38,10.201.68.40,ip-10-201-66-180.eu-west-1.compute.internal,exec,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-keycloak,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=keycloak,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=844cd69df",,4h17m
default,elisity-settings-service-7c76d66b7f-j7c5f,0,●,2/2,Running,4,3h32m,15,555,150:1000,550:1100,10,1,101,50,10.201.122.97,ip-10-201-104-100.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=elisity-settings-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=settings-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=7c76d66b7f",,4h17m
default,flowsdb-1,0,●,1/1,Running,0,<unknown>,99,128151,1000:2000,204800:204800,9,4,62,62,10.201.50.5,ip-10-201-57-10.eu-west-1.compute.internal,flowsdb,<none>,<none>,BU,"app.kubernetes.io/component=systemservices,cnpg.io/cluster=flowsdb,cnpg.io/instanceName=flowsdb-1,cnpg.io/instanceRole=primary,cnpg.io/podRole=instance,role=primary",,5h20m
default,kafka-cluster-cruise-control-795f8496b4-z6pxg,0,●,1/1,Running,0,<unknown>,5,550,0:0,0:0,n/a,n/a,n/a,n/a,10.201.57.100,ip-10-201-46-237.eu-west-1.compute.internal,kafka-cluster-cruise-control,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=cruise-control,app.kubernetes.io/part-of=strimzi-kafka-cluster,pod-template-hash=795f8496b4,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=cruise-control,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-cruise-control",,6h30m
default,ds-data-exporter-ve-29128920-8p67h,0,●,0/1,Completed,0,<unknown>,0,0,200:200,250:500,0,0,0,0,10.201.64.227,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=ds-data-exporter-ve,batch.kubernetes.io/controller-uid=1f485a75-04e9-47ca-85e3-11283772dc4e,batch.kubernetes.io/job-name=ds-data-exporter-ve-29128920,controller-uid=1f485a75-04e9-47ca-85e3-11283772dc4e,job-name=ds-data-exporter-ve-29128920",,178m
default,ds-data-exporter-ve-29128980-sfkpn,0,●,0/1,Completed,0,<unknown>,0,0,200:200,250:500,0,0,0,0,10.201.89.134,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=ds-data-exporter-ve,batch.kubernetes.io/controller-uid=8954a243-3c0b-42fd-9d8a-6539a4e4fe79,batch.kubernetes.io/job-name=ds-data-exporter-ve-29128980,controller-uid=8954a243-3c0b-42fd-9d8a-6539a4e4fe79,job-name=ds-data-exporter-ve-29128980",,118m
default,elisity-c3eventsmanager-service-548d955564-mmqps,0,●,2/2,Running,1,38m,900,772,1050:3500,1074:1524,85,25,71,50,10.201.89.133,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-c3eventsmanager-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=c3eventsmanager,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=548d955564",,132m
default,elisity-identity-graph-f69896874-sdvk2,0,●,2/2,Running,8,38m,617,1496,4050:6500,4196:4646,15,9,35,32,10.201.68.42,ip-10-201-66-180.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-identity-graph,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=identity-graph,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=f69896874",,4h17m
default,elisity-logging-service-598bc6554f-9f7zj,0,●,1/1,Running,0,<unknown>,28,1385,800:800,2048:2048,3,3,67,67,10.201.50.9,ip-10-201-57-10.eu-west-1.compute.internal,default,<none>,<none>,GA,"app=elisity-logging-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=logging,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=598bc6554f",,4h17m
default,elisity-policy-service-56f55f6f4d-npjgp,0,●,2/2,Running,0,<unknown>,354,1046,2050:2500,2098:2548,17,14,49,41,10.201.115.111,ip-10-201-119-111.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-policy-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=policy-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=56f55f6f4d",,135m
default,elisity-policy-service-56f55f6f4d-sk69h,0,●,2/2,Running,0,<unknown>,352,1043,2050:2500,2098:2548,17,14,49,40,10.201.49.232,ip-10-201-53-63.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-policy-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=policy-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=56f55f6f4d",,135m
default,kafka-cluster-entity-operator-6498497dbc-g49tw,0,●,1/1,Running,0,<unknown>,3,222,0:0,0:0,n/a,n/a,n/a,n/a,10.201.49.124,ip-10-201-46-237.eu-west-1.compute.internal,kafka-cluster-entity-operator,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=entity-operator,app.kubernetes.io/part-of=strimzi-kafka-cluster,pod-template-hash=6498497dbc,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=entity-operator,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-entity-operator",,6h30m
default,elisity-api-gateway-service-79f79bf655-mpk44,0,●,1/1,Running,0,<unknown>,2,214,500:500,500:500,0,0,42,42,10.201.120.48,ip-10-201-104-100.eu-west-1.compute.internal,default,<none>,<none>,GA,"app=elisity-api-gateway-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=elisity-api-gateway-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=79f79bf655",,4h17m
default,elisity-flows-search-service-7b5b6c9d58-vm7xx,0,●,2/2,Running,11,168m,30,905,2050:2500,4146:4596,1,1,21,19,10.201.56.136,ip-10-201-42-207.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-flows-search-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=elisity-flows-search-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=false,pod-template-hash=7b5b6c9d58",,3h16m
default,elisity-identity-graph-device-history-cronjob-29128860-p27j9,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.201.115.111,ip-10-201-119-111.eu-west-1.compute.internal,postgres-ha,<none>,<none>,BE,"batch.kubernetes.io/controller-uid=1952502e-5183-496c-b21b-a5bf6ff5703f,batch.kubernetes.io/job-name=elisity-identity-graph-device-history-cronjob-29128860,controller-uid=1952502e-5183-496c-b21b-a5bf6ff5703f,job-name=elisity-identity-graph-device-history-cronjob-29128860",,3h58m
