NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICEACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
default,elisity-settings-service-76b8b9b87c-lk4lt,0,●,2/2,Running,6,18m,2,437,50:500,150:1500,4,0,291,29,10.223.92.31,ip-10-223-74-232.us-east-2.compute.internal,default,<none>,<none>,BU,app=elisity-settings-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=settings-service app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=76b8b9b87c,,21m
default,elisity-nflowinjest-76bd7bd897-zgbls,0,●,1/1,Running,0,<unknown>,2,31,0:0,100:3000,n/a,n/a,31,1,10.223.62.91,ip-10-223-40-120.us-east-2.compute.internal,default,<none>,<none>,BU,app=elisity-nflowinjest app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=nflowinjest app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=76bd7bd897,,21m
default,elisity-nflowcore-76845d7455-6qp5r,0,●,1/1,Running,0,<unknown>,1,11,0:0,100:3000,n/a,n/a,11,0,10.223.63.128,ip-10-223-40-120.us-east-2.compute.internal,default,<none>,<none>,BU,app=elisity-nflowcore app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=nflowcore app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=76845d7455,,21m
default,elisity-topology-service-86dc7b4767-djrkt,0,●,2/2,Running,5,17m,23,1191,50:500,150:4500,46,4,794,26,10.223.58.21,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-topology-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=topology-service app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=86dc7b4767,,21m
default,keycloak-migrate-q2t64,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.223.58.23,ip-10-223-52-205.us-east-2.compute.internal,exec,<none>,<none>,BE,app=keycloak-migrate app.kubernetes.io/component=systemservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=keycloak-migrate app.kubernetes.io/organization=elisity batch.kubernetes.io/controller-uid=b88c6d5a-130c-4691-9d30-d6bcb4de1ec4 batch.kubernetes.io/job-name=keycloak-migrate controller-uid=b88c6d5a-130c-4691-9d30-d6bcb4de1ec4 job-name=keycloak-migrate,,21m
default,e2e-ui-2025-02-06-08-19-30-x88hl,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.223.59.76,ip-10-223-52-205.us-east-2.compute.internal,e2e,<none>,<none>,BE,app=e2e-upgrade-verification app.kubernetes.io/component=systemservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=e2e-ui app.kubernetes.io/organization=elisity batch.kubernetes.io/controller-uid=07ab6e2c-bc9c-447c-9dd1-7691369b2dce batch.kubernetes.io/job-name=e2e-ui-2025-02-06-08-19-30 controller-uid=07ab6e2c-bc9c-447c-9dd1-7691369b2dce job-name=e2e-ui-2025-02-06-08-19-30,,7m38s
default,kafka-cluster-kafka-controller-3,0,●,1/1,Running,0,<unknown>,35,914,0:0,0:0,n/a,n/a,n/a,n/a,10.223.102.82,ip-10-223-103-166.us-east-2.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,app.kubernetes.io/instance=kafka-cluster app.kubernetes.io/managed-by=strimzi-cluster-operator app.kubernetes.io/name=kafka app.kubernetes.io/part-of=strimzi-kafka-cluster statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-controller-3 strimzi.io/broker-role=false strimzi.io/cluster=kafka-cluster strimzi.io/component-type=kafka strimzi.io/controller=strimzipodset strimzi.io/controller-name=kafka-cluster-kafka-controller strimzi.io/controller-role=true strimzi.io/kind=Kafka strimzi.io/name=kafka-cluster-kafka strimzi.io/pod-name=kafka-cluster-kafka-controller-3 strimzi.io/pool-name=kafka-controller,,23m
default,kafka-cluster-kafka-2,0,●,1/1,Running,0,<unknown>,43,2485,0:0,0:0,n/a,n/a,n/a,n/a,10.223.61.48,ip-10-223-52-205.us-east-2.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,app.kubernetes.io/instance=kafka-cluster app.kubernetes.io/managed-by=strimzi-cluster-operator app.kubernetes.io/name=kafka app.kubernetes.io/part-of=strimzi-kafka-cluster statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-2 strimzi.io/broker-role=true strimzi.io/cluster=kafka-cluster strimzi.io/component-type=kafka strimzi.io/controller=strimzipodset strimzi.io/controller-name=kafka-cluster-kafka strimzi.io/controller-role=false strimzi.io/kind=Kafka strimzi.io/name=kafka-cluster-kafka strimzi.io/pod-name=kafka-cluster-kafka-2 strimzi.io/pool-name=kafka,,20m
default,elisity-ui2-service-5b6d549499-sbmgk,0,●,1/1,Running,0,<unknown>,0,28,0:0,100:1000,n/a,n/a,28,2,10.223.32.77,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BU,app=elisity-ui2-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=ui2 app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=5b6d549499,,21m
default,kafka-cluster-entity-operator-d5cdbfc59-g86hr,0,●,1/1,Running,0,<unknown>,2,194,0:0,0:0,n/a,n/a,n/a,n/a,10.223.59.75,ip-10-223-52-205.us-east-2.compute.internal,kafka-cluster-entity-operator,<none>,<none>,BE,app.kubernetes.io/instance=kafka-cluster app.kubernetes.io/managed-by=strimzi-cluster-operator app.kubernetes.io/name=entity-operator app.kubernetes.io/part-of=strimzi-kafka-cluster pod-template-hash=d5cdbfc59 strimzi.io/cluster=kafka-cluster strimzi.io/component-type=entity-operator strimzi.io/kind=Kafka strimzi.io/name=kafka-cluster-entity-operator,,26m
default,postgres-ha-2,0,●,1/1,Running,0,<unknown>,28,424,1000:0,8192:0,2,n/a,5,n/a,10.223.102.83,ip-10-223-103-166.us-east-2.compute.internal,postgres-ha,<none>,<none>,BU,app.kubernetes.io/component=systemservices cnpg.io/cluster=postgres-ha cnpg.io/instanceName=postgres-ha-2 cnpg.io/instanceRole=replica cnpg.io/podRole=instance role=replica,,17m
default,postgres-ha-3,0,●,1/1,Running,0,<unknown>,14,444,1000:0,8192:0,1,n/a,5,n/a,10.223.70.161,ip-10-223-74-232.us-east-2.compute.internal,postgres-ha,<none>,<none>,BU,app.kubernetes.io/component=systemservices cnpg.io/cluster=postgres-ha cnpg.io/instanceName=postgres-ha-3 cnpg.io/instanceRole=replica cnpg.io/podRole=instance role=replica,,17m
default,elisity-policy-service-85977d5d7d-xpkcm,0,●,2/2,Running,6,17m,81,1321,50:500,150:7500,162,16,881,17,10.223.63.129,ip-10-223-40-120.us-east-2.compute.internal,default,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-policy-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=policy-service app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=85977d5d7d,,21m
default,ds-data-exporter-richflow-20250206082049-27481-78wqc,0,●,0/1,Completed,0,<unknown>,0,0,200:200,500:1024,0,0,0,0,10.223.60.115,ip-10-223-40-120.us-east-2.compute.internal,default,<none>,<none>,BU,batch.kubernetes.io/controller-uid=c312cf54-fc6d-46e8-8f3b-0dbcae496dde batch.kubernetes.io/job-name=ds-data-exporter-richflow-20250206082049-27481 controller-uid=c312cf54-fc6d-46e8-8f3b-0dbcae496dde job-name=ds-data-exporter-richflow-20250206082049-27481,,6m19s
default,elisity-openvpn-7fdf79d9db-l4prm,0,●,1/1,Running,6,18m,3,25,0:0,0:0,n/a,n/a,n/a,n/a,10.223.62.93,ip-10-223-40-120.us-east-2.compute.internal,default,<none>,<none>,BE,app=elisity-openvpn app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=openvpn app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=7fdf79d9db,,21m
default,kafka-cluster-kafka-1,0,●,1/1,Running,0,<unknown>,67,3212,0:0,0:0,n/a,n/a,n/a,n/a,10.223.70.160,ip-10-223-74-232.us-east-2.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,app.kubernetes.io/instance=kafka-cluster app.kubernetes.io/managed-by=strimzi-cluster-operator app.kubernetes.io/name=kafka app.kubernetes.io/part-of=strimzi-kafka-cluster statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-1 strimzi.io/broker-role=true strimzi.io/cluster=kafka-cluster strimzi.io/component-type=kafka strimzi.io/controller=strimzipodset strimzi.io/controller-name=kafka-cluster-kafka strimzi.io/controller-role=false strimzi.io/kind=Kafka strimzi.io/name=kafka-cluster-kafka strimzi.io/pod-name=kafka-cluster-kafka-1 strimzi.io/pool-name=kafka,,21m
default,psql-db-creator-qj5hm,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.223.59.79,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BE,app=psql-db-creator app.kubernetes.io/component=systemservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=psql app.kubernetes.io/organization=elisity batch.kubernetes.io/controller-uid=4979cec7-9642-421a-9846-9adf99c98bb3 batch.kubernetes.io/job-name=psql-db-creator controller-uid=4979cec7-9642-421a-9846-9adf99c98bb3 job-name=psql-db-creator,,23m
default,elisity-api-gateway-service-85b585d498-wr7jf,0,●,1/1,Running,0,<unknown>,1,193,50:250,32:256,2,0,605,75,10.223.32.76,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BU,app=elisity-api-gateway-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=elisity-api-gateway-service app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=85b585d498,,21m
default,elisity-nanove-service-8b6d4f4b6-tgqd7,0,●,1/1,Running,0,<unknown>,2,25,0:0,100:1000,n/a,n/a,25,2,10.223.32.79,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BU,app=elisity-nanove-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=nanove-service app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=8b6d4f4b6,,21m
default,timescaledb-1,0,●,1/1,Running,0,<unknown>,19,4257,1000:0,8192:0,1,n/a,51,n/a,10.223.60.116,ip-10-223-40-120.us-east-2.compute.internal,timescaledb,<none>,<none>,BU,app.kubernetes.io/component=systemservices cnpg.io/cluster=timescaledb cnpg.io/instanceName=timescaledb-1 cnpg.io/instanceRole=primary cnpg.io/podRole=instance role=primary,,17m
